Site,Path,Boost,Discard,Reasoning
gardeners.com,/,8,FALSE,"Esteemed site with a long-standing reputation for solid gardening advice and products."
finegardening.com,/,8,FALSE,"Renowned for its detailed articles and gardening tips, especially on flowers and landscaping."
almanac.com,/,7,FALSE,"The Old Farmer's Almanac is a trusted source with a history of offering planting advice."
rhs.org.uk,/,9,FALSE,"The Royal Horticultural Society is known for its horticultural expertise and expansive plant database."
motherearthnews.com,/,7,FALSE,"Authoritative resource on organic gardening and sustainable living."
garden.org,/,7,FALSE,"National Gardening Association provides a plethora of gardening information and tools."
plantcaretoday.com,/,6,FALSE,"Provides comprehensive advice on indoor plants, flowers, and more."
growveg.com,/,7,FALSE,"Renowned for its vegetable gardening tips and garden planning software."
herbgardening.com,/,6,FALSE,"Specialized resource for herb gardening."
gardenista.com,/,7,FALSE,"Stylish website with modern landscaping ideas and gardening tips."
houseplants.com,/,6,FALSE,"Dedicated site for indoor plant care and tips."
davesgarden.com,/,7,FALSE,"Community-driven platform with plant databases and gardening forums."
growingagreenerworld.com,/,6,FALSE,"Focuses on sustainable gardening practices and organic gardening."
gardenknowhow.com,/,6,FALSE,"Provides how-to guides and advice on a variety of gardening topics."
